id,limitName,limitDescription,limitWarning,impactedIncentiveIds,limitAmount
uuid-al-101,"Annual Federal Tax Credit Limit - heat pumps, heat pump water heaters, and biomass stoves/boilers",,"You have met the maximum annual tax credit limit for heat pumps, heat pump water heaters, and biomass stoves/boilers","uuid-101,uuid-105",2000
uuid-al-102,"Annual Federal Tax Credit Limit - home envelope improvements (windows/doors/skylights, insulation, electrical), furnaces, boilers, and central air conditioners",,"You have met the maximum annual tax credit limit for envelope improvements, furnaces, boilers, and central air conditioners","uuid-113,uuid-109,uuid-108,uuid-107,uuid-106,uuid-104,uuid-103,uuid-102",1200
uuid-al-103,High-Efficiency Electric Home Rebate Limit,,"You have met the maximum limit for rebates through the HEEHRA program","uuid-119,uuid-120,uuid-121,uuid-122,uuid-123,uuid-124,uuid-125,uuid-126,uuid-127,uuid-128,uuid-129,uuid-130,uuid-131,uuid-132",14000
